"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"Robert Gordon"	59.1	86.291097865795	87.8648233486943	3.63114497472162	19.2751056968719	82.3643410852713	4.7625612698986	384.17391304348	70.4363859864782	51	2015	"None"	"No"
"Brunel"	58.7	84.3946477510881	86.6817155756207	5.77816873081401	16.9098649655008	60.7372732592159	4.46450603439068	352.159597030754	72.505157297576	52	2015	"None"	"No"
"Falmouth"	58.6	79.1380387257963	70.5	6.44546979865771	22.9876347853739	61.7549668874172	5.54050959060979	316.172448979591	65.6015976035946	53	2015	"Guild"	"No"
"Essex"	58.5	85.8762399622106	86.2665585293322	4.65725967396327	16.0602261770975	52.3844460748349	4.72886118230326	343.046171829339	72.0920185765201	54	2015	"1994"	"No"
"Portsmouth"	58.4	86.8984247691472	87.3940447728754	4.93123821225618	18.5530042701914	63.2419298854564	7.20818207309094	313.980617977529	70.3985066851883	55	2015	"Alliance"	"Yes"
"Huddersfield"	58.3	87.527254072079	86.1901101716628	3.74086194785339	18.3013387729059	67.2902191341528	5.56954932207846	334.552370842179	78.6168684588549	56	2015	"Alliance"	"Yes"
"Nottingham Trent"	57.8	85.1150287571893	86.314736052039	4.40812930324055	17.1577053237444	62.6461211477151	5.58485259324241	319.98864380869	72.8032008002	57	2015	"Alliance"	"Yes"
"Swansea"	57.8	85.9069675636554	84.5263157894736	4.82690108421993	15.5032146039596	77.7545691906005	5.67419391661505	340.435393258426	68.7851844057452	57	2015	"None"	"No"
"Winchester"	57.6	91.4931588340273	89.3657606103958	2.95329816709292	17.2542629076458	53.9215686274509	6.38665671456117	322.333333333333	77.6593720266412	59	2015	"Guild"	"No"
"Northumbria"	57.4	86.5074958356468	87.1039466370205	4.27084040266938	18.484366774979	62.0509243111266	5.73734645402103	365.529506871463	72.7595977554308	60	2015	"Alliance"	"Yes"
"Chester"	57.3	87.1637150196025	86.7388362652232	4.39476878842466	16.8808201868335	70.7824838478104	4.46376658561598	302.365283738674	74.5877264125439	61	2015	"None"	"No"
"Brighton"	56.9	84.7133387603209	83.2286578274017	3.98142900676199	18.3173141957844	59.0504451038575	6.09451181357814	315.745142857142	70.6658612518005	62	2015	"None"	"Yes"
"Stirling"	56.6	87.7549057329742	85.8352578906851	4.21075091640184	15.6898912093226	64.2791551882461	3.9342336993042	380.206418039896	66.5435518621114	63	2015	"None"	"No"
"Glyndŵr"	55.7	83.25	80.8125	3.8822591688575	20.0695158079273	62.4793388429752	4.74962678043001	287.447098976109	75.2	64	2015	"None"	"No"
"Lincoln"	55.3	85.1095016382134	84.361005856011	4.06486550821233	18.633526098649	69.5014662756598	3.41780194269656	337.700631199278	72.0463480240016	65	2015	"Alliance"	"No"
"Hertfordshire"	55.2	82.6224328593996	81.7798841495524	4.91852881064094	18.3452549943204	62.0058565153733	6.83868266581228	343.863943161634	66.4771530848599	66	2015	"Alliance"	"Yes"
"Central Lancashire"	55.1	85.6908793009284	85.65625	5.7951112702554	17.1735755461484	55.6083302886371	4.15960572959044	336.870592648162	75.1390885791085	67	2015	"None"	"Yes"
"Plymouth"	54.8	87.4576647604241	85.2706299911268	6.0400471881628	16.1968428526956	58.2114361702127	5.09291558797407	315.703527815468	70.3139571028908	68	2015	"Alliance"	"Yes"
"Bath Spa"	54.5	89.7112139017377	87.7622377622377	4.46398006100059	20.026318923126	57.9999999999999	5.67868186643282	331.762093576526	75.7232956251877	69	2015	"Million"	"No"
"Queen Margaret"	54.5	88.0673841834347	83.7383177570093	2.94941634241245	20.4920992115637	68.4210526315789	6.90348071495766	338.782374100719	61.8976279650436	69	2015	"None"	"No"
"Bournemouth"	53.8	83.7424547283702	79.3870967741935	5.83625313263204	21.5725040266956	64.2478813559322	5.53202797089961	336.422631804547	68.8740015459933	71	2015	"Alliance"	"Yes"
"Manchester Met"	53.8	83.2818462656732	82.0610687022901	3.23771392351574	18.2176522289864	58.3333333333333	5.77648425945489	343.664851277754	71.2218181818181	71	2015	"Alliance"	"Yes"
"Sheffield Hallam"	53.5	84.4688827793051	81.8036392721455	4.82400404580413	18.3874355707062	57.818620066285	6.6079876585533	321.113	69.2353811103561	73	2015	"Alliance"	"Yes"
"Gloucestershire"	53.3	84.8732179780171	82.4477351916376	4.83973811557073	23.5580129030048	61.2556053811659	7.37215239591516	295.055360896986	73.1900452488687	74	2015	"None"	"No"
"Edge Hill"	53	88.0043501903208	87.0434782608695	3.8453003050148	16.8194208315835	61.0223642172524	4.44023066973268	307.806374501992	77.9885157473464	75	2015	"None"	"No"
"Hull"	53	89.4017789663391	89.4651162790697	4.18078099844581	17.796565555841	55.4585152838428	5.4027249213052	332.833674723474	73.3246584255042	75	2015	"None"	"No"
"Sunderland"	52.9	85.6271864067966	82.48	6.8751719032182	17.8918792970152	49.6727272727272	4.29770062229074	302.66178343949	72.8896363927598	77	2015	"Million"	"Yes"
"Edinburgh Napier"	52.6	86.9150548177199	83.7076648841354	3.77312455202073	21.6473217066864	63.3220910623946	7.01683725640083	347.981331168831	70.9020784229697	78	2015	"Million"	"Yes"
"University Campus Suffolk"	52.6	84.5373693243875	82.8446662507797	NA	19.1693223172417	60.9009009009009	4.02656837606837	338.101449275362	74.7906511686039	78	2015	"None"	"No"
"Chichester"	52.5	89.5219566425791	87.3614190687361	3.33839657282741	18.6506440403976	61.1045828437132	5.26554235223193	305.681660899653	74.3943098466325	80	2015	"Guild"	"No"
"Liverpool John Moores"	52.5	84.3217016271319	81.7967830521773	3.81057692307692	19.7253290854101	55.4468802698145	6.79592614322226	335.860697863132	74.0414020230533	80	2015	"Alliance"	"Yes"
"Bangor"	52.4	85.6437652150392	83.8735818476499	4.7343077438444	17.7585184939545	65.6202143950995	4.41916222658341	305.45942647956	71.0759904741286	82	2015	"None"	"No"
"Bradford"	52.1	81.3723448563098	82.276897414512	4.71755615743842	18.6104072214401	69.434306569343	5.80038398996924	319.877867746289	68.6312104034678	83	2015	"None"	"No"
"Teesside"	51.8	85.3947225540232	84.672166739036	4.57383004189108	18.8051456562552	53.6445012787723	4.68649383040007	323.572972972973	78.3964558721334	84	2015	"Alliance"	"Yes"
"De Montfort"	51.7	84.8030821917808	83.1765041345879	3.46759313324769	18.1454454369747	54.3587896253602	6.0486862124265	312.684570646595	71.33394243947	85	2015	"None"	"Yes"
"Middlesex"	51.6	82.9391669951386	79.5795006570302	6.24186326165725	20.5451152151938	53.6710719530102	5.25858667009447	287.104683195592	72.8938500421229	86	2015	"Million"	"Yes"
"Greenwich"	51.3	85.4233282357848	83.9444444444444	3.81857955092994	21.5164226263811	53.6159600997506	6.58774280628313	312.104874446085	71.9435649613953	87	2015	"Alliance"	"Yes"
"Birmingham City"	50.2	83.2855357011545	82.5345486621581	4.22638430441716	21.2184110248094	63.2423060251408	6.05392575010199	316.558042852574	72.2232022108543	88	2015	"Million"	"Yes"
"York St John"	49.8	89.0245594560843	86.1265260821309	4.0753392049512	21.0982932680887	61.9638826185101	4.89576753000631	302.157539384846	77.2262935820564	89	2015	"Guild"	"No"
"Staffordshire"	48.8	85.9350716629252	83.5521769177608	5.07076215734764	17.7321315974369	55.2558782849239	4.24518571535293	273.09111747851	71.1091172613706	90	2015	"Million"	"Yes"
"Glasgow Caledonian"	48.3	83.2809351068117	82.1727917472598	4.02566608373624	20.8981053455007	64.3324607329843	6.12101063829787	370.346625766871	61.3851808860514	91	2015	"None"	"No"
"Canterbury Christ Church"	48.1	86.6685169765935	85.0906400295967	2.9757325184253	18.9483068176436	58.1899775617053	6.50937114673242	276.591363636363	71.3651498335183	92	2015	"Million"	"No"
"Ulster"	47.8	86.4452606876849	87.7421986538853	3.51006201194739	19.1828392139242	51.2082092022508	5.93806096564321	309.336888888888	73.7325495958853	93	2015	"None"	"Yes"
"Salford"	47.6	83.3439761600681	79.93182786536	3.83589005425507	16.974325148122	60.1585728444003	4.94409379506676	340.534838076546	68.3141762452107	94	2015	"Alliance"	"No"
"Westminster"	47.5	79.8987170830519	80.2212628170534	4.59094548481065	20.3258574152316	54.158215010142	6.49348314606741	317.126843657817	65.1255738590331	95	2015	"None"	"Yes"
"St Mary's, Twickenham"	47.2	87.5921052631579	86.4353312302839	2.98039106971242	22.3527770148062	66.3551401869158	4.40252612633166	293.683544303797	72.6650521217226	96	2015	"Guild"	"No"
